一级分类,二级分类,品名,最低价,平均价,最高价,规格,产地,单位,发布日期
蔬菜,无,大白菜,0.5,0.6,0.7,无,冀鲁鄂,斤,2025-04-09
蔬菜,无,娃娃菜,0.9,1.0,1.1,无,云,斤,2025-04-09
蔬菜,无,小白菜,0.8,1.0,1.2,无,冀,斤,2025-04-09
蔬菜,无,圆白菜,0.5,0.75,1.0,甘蓝,冀鲁苏,斤,2025-04-09
蔬菜,无,紫甘蓝,1.8,1.85,1.9,无,云,斤,2025-04-09
蔬菜,无,芹菜,0.7,0.8,0.9,无,津鲁冀,斤,2025-04-09
蔬菜,无,西芹,1.5,1.65,1.8,无,辽,斤,2025-04-09
蔬菜,无,菠菜,1.0,1.4,1.8,大叶,鲁冀,斤,2025-04-09
蔬菜,无,菠菜,0.5,0.75,1.0,杆,鲁冀,斤,2025-04-09
蔬菜,无,莴笋,1.2,1.45,1.7,无,鲁津,斤,2025-04-09
蔬菜,无,团生菜,3.0,3.5,4.0,无,冀,斤,2025-04-09
蔬菜,无,罗马生菜,1.8,2.3,2.8,无,云,斤,2025-04-09
蔬菜,无,散叶生菜,1.8,2.0,2.2,无,辽京,斤,2025-04-09
蔬菜,无,油菜,0.8,1.0,1.2,无,皖京鲁,斤,2025-04-09
蔬菜,无,香菜,1.5,1.75,2.0,无,冀,斤,2025-04-09
蔬菜,无,茴香,1.5,1.75,2.0,无,冀,斤,2025-04-09
蔬菜,无,韭菜,2.0,2.1,2.2,无,冀,斤,2025-04-09
蔬菜,无,苦菊,2.3,2.5,2.7,无,辽冀,斤,2025-04-09
蔬菜,无,油麦菜,1.4,1.5,1.6,无,京冀,斤,2025-04-09
蔬菜,无,散菜花,1.6,1.95,2.3,无,云苏豫,斤,2025-04-09
